year,northshore- All,northshore- State,northshore- Local,northshore- Other,waianae Counties- All,waianae Counties- State,waianae Counties- Local,waianae Counties- Other,centraloahu Suburbs- All,centraloahu Suburbs- State,centraloahu Suburbs- Local,centraloahu Suburbs- Other,ewa Suburbs- All,ewa Suburbs- State,ewa Suburbs- Local,ewa Suburbs- Other,puc- All,puc- State,puc- Local,puc- Other,easthonolulu- All,easthonolulu- State,easthonolulu- Local,easthonolulu- Other,koolauloa- All,koolauloa- State,koolauloa- Local,koolauloa- Other,koolaupoko- All,koolaupoko- State,koolaupoko- Local,koolaupoko- Other,Value
2009,0.765,0.872,1.36,0.514,0.214,0.218,0.334,0.118,0.042,0.072,0.115,0,0.19,0.169,0.41,0.171,0.247,0.248,0.329,0.224,0.022,0.033,0.086,0.001,0.05,0.132,0.086,0,0,0,0,0,Deck
2010,0.718,0.832,1.488,0.358,0.197,0.201,0.346,0.083,0.05,0.076,0.143,0.009,0.17,0.152,0.442,0.116,0.199,0.221,0.334,0.114,0.045,0.028,0.134,0.036,0.057,0.154,0.089,0,0,0,0,0,Deck
2011,0.696,0.767,1.542,0.429,0.166,0.172,0.313,0.085,0.046,0.066,0.144,0.009,0.169,0.151,0.447,0.122,0.22,0.218,0.409,0.176,0.046,0.029,0.141,0.037,0.049,0.131,0.088,0,0,0,0,0,Deck
2012,0.604,0.649,1.548,0.358,0.139,0.138,0.313,0.062,0.048,0.067,0.164,0.009,0.137,0.112,0.436,0.102,0.188,0.179,0.417,0.147,0.045,0.029,0.13,0.038,0.047,0.124,0.088,0,0,0,0,0,Deck
2013,0.818,0.555,1.546,0.857,0.123,0.118,0.296,0.063,0.122,0.068,0.163,0.172,0.122,0.091,0.427,0.105,0.16,0.133,0.43,0.152,0.045,0.025,0.142,0.038,0.246,0.12,0.088,0.327,0,0,0,0,Deck
2014,0.527,0.532,1.532,0.38,0.134,0.116,0.301,0.12,0.047,0.065,0.17,0.009,0.124,0.089,0.434,0.12,0.139,0.123,0.436,0.097,0.042,0.027,0.134,0.034,0.041,0.112,0.057,0,0,0,0,0,Deck
2015,0.474,0.505,1.483,0.289,0.123,0.106,0.294,0.103,0.038,0.064,0.135,0.001,0.118,0.087,0.414,0.1,0.132,0.116,0.446,0.082,0.021,0.021,0.137,0.001,0.042,0.111,0.057,0.002,0,0,0,0,Deck
2016,0.463,0.486,1.496,0.29,0.121,0.104,0.289,0.1,0.041,0.065,0.156,0.002,0.116,0.086,0.399,0.097,0.122,0.102,0.432,0.085,0.023,0.031,0.136,0.001,0.04,0.098,0.084,0.005,0,0,0,0,Deck
2017,0.442,0.482,1.413,0.259,0.111,0.094,0.275,0.091,0.042,0.07,0.151,0.001,0.105,0.077,0.376,0.088,0.121,0.106,0.403,0.077,0.023,0.03,0.137,0.001,0.04,0.105,0.071,0.001,0,0,0,0,Deck
2018,0.427,0.472,1.376,0.236,0.098,0.087,0.296,0.045,0.042,0.071,0.149,0.001,0.094,0.07,0.33,0.071,0.129,0.107,0.373,0.117,0.023,0.033,0.128,0.001,0.041,0.104,0.1,0.001,0,0,0,0,Deck
2019,0.396,0.437,1.327,0.227,0.105,0.086,0.303,0.076,0.038,0.064,0.145,0.001,0.089,0.065,0.318,0.072,0.103,0.091,0.332,0.076,0.023,0.033,0.129,0.001,0.038,0.098,0.1,0.001,0,0,0,0,Deck
2020,0.413,0.49,1.183,0.187,0.104,0.089,0.283,0.06,0.041,0.073,0.137,0.001,0.089,0.073,0.283,0.056,0.119,0.121,0.289,0.068,0.023,0.039,0.117,0.001,0.037,0.095,0.074,0.001,0,0,0,0,Deck
2021,0.389,0.457,1.093,0.178,0.103,0.089,0.267,0.054,0.034,0.057,0.13,0.001,0.082,0.069,0.243,0.047,0.111,0.11,0.265,0.074,0.022,0.037,0.114,0.001,0.037,0.095,0.074,0.001,0,0,0,0,Deck
2022,0.356,0.433,1.002,0.159,0.092,0.081,0.221,0.051,0.035,0.062,0.122,0.001,0.074,0.062,0.224,0.043,0.096,0.095,0.254,0.062,0.026,0.048,0.121,0.001,0.033,0.085,0.06,0.001,0,0,0,0,Deck
2023,0.314,0.421,0.974,0.09,0.067,0.063,0.215,0.022,0.035,0.063,0.119,0,0.07,0.067,0.218,0.027,0.083,0.094,0.247,0.04,0.026,0.048,0.115,0.001,0.033,0.086,0.06,0,0,0,0,0,Deck
